City_Id,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,ilulissat,61,GL,broken clouds,70,69.22,-51.1,44.6,0.0,0.0,2.24
1,kodinsk,47,RU,scattered clouds,35,58.69,99.18,83.46,0.0,0.0,3.56
2,west odessa,1,US,clear sky,29,31.84,-102.5,89.6,0.0,0.0,13.87
3,lompoc,90,US,overcast clouds,87,34.64,-120.46,59.0,0.0,0.0,10.29
4,albany,33,US,scattered clouds,92,42.6,-73.97,78.01,0.0,0.0,2.82
5,bubaque,32,GW,scattered clouds,88,11.28,-15.83,80.98,0.0,0.0,14.83
6,hami,4,CN,light rain,17,42.8,93.45,79.25,0.2,0.2,9.19
7,lata,14,PT,few clouds,91,40.16,-8.33,62.01,0.0,0.0,2.95
8,yulara,0,AU,clear sky,41,-25.24,130.99,59.0,0.0,0.0,12.75
9,ushuaia,34,AR,scattered clouds,80,-54.8,-68.3,35.6,0.0,0.0,10.29
10,at-bashi,17,KG,few clouds,21,41.17,75.81,70.77,0.0,0.0,1.74
11,high level,40,CA,scattered clouds,60,58.52,-117.14,73.4,0.0,0.0,10.29
12,dawei,17,MM,few clouds,60,14.08,98.2,89.55,0.0,0.0,4.47
13,rikitea,75,PF,broken clouds,69,-23.12,-134.97,70.36,0.0,0.0,16.91
14,kayes,38,ML,scattered clouds,55,14.0,-11.0,91.4,0.0,0.0,13.13
15,qasigiannguit,65,GL,broken clouds,82,68.82,-51.19,44.6,0.0,0.0,2.24
16,arraial do cabo,0,BR,clear sky,84,-22.97,-42.03,72.72,0.0,0.0,10.0
17,nikolskoye,0,RU,clear sky,67,59.7,30.79,59.0,0.0,0.0,4.47
18,meulaboh,100,ID,heavy intensity rain,95,4.14,96.13,75.0,5.05,5.05,6.91
19,leningradskiy,16,RU,light rain,69,69.38,178.42,48.87,0.14,0.14,13.27
20,togur,100,RU,overcast clouds,62,58.36,82.83,60.66,0.0,0.0,11.18
21,avarua,91,CK,overcast clouds,69,-21.21,-159.78,73.4,0.0,0.0,13.87
22,praya,40,CV,scattered clouds,78,14.92,-23.51,77.0,0.0,0.0,6.93
23,vaini,40,TO,scattered clouds,83,-21.2,-175.2,82.4,0.0,0.0,4.7
24,yuncheng,100,CN,overcast clouds,64,35.02,110.99,75.99,0.0,0.0,3.06
25,grindavik,75,IS,broken clouds,76,63.84,-22.43,53.6,0.0,0.0,11.41
26,new norfolk,100,AU,light rain,92,-42.78,147.06,53.01,0.51,0.51,1.01
27,necochea,47,AR,scattered clouds,97,-38.55,-58.74,39.0,0.0,0.0,8.57
28,makakilo city,40,US,scattered clouds,54,21.35,-158.09,84.2,0.0,0.0,8.05
29,nabire,60,ID,moderate rain,74,-3.37,135.48,84.34,1.04,1.04,5.41
30,dingle,70,PH,broken clouds,63,11.0,122.67,89.38,0.0,0.0,6.89
31,tiksi,83,RU,broken clouds,83,71.69,128.87,40.46,0.0,0.0,8.14
32,puerto ayora,27,EC,scattered clouds,94,-0.74,-90.35,69.01,0.0,0.0,7.34
33,castro,0,BR,clear sky,83,-24.79,-50.01,56.41,0.0,0.0,2.86
34,saldanha,54,ZA,broken clouds,93,-33.01,17.94,48.2,0.0,0.0,5.5
35,kavaratti,90,IN,overcast clouds,79,10.57,72.64,86.0,0.0,0.0,9.17
36,hilo,90,US,overcast clouds,57,19.73,-155.09,80.6,0.0,0.0,6.93
37,ribeira grande,7,PT,clear sky,88,38.52,-28.7,66.22,0.0,0.0,17.18
38,katsuura,75,JP,moderate rain,100,35.13,140.3,69.8,0.0,0.0,21.92
39,provideniya,10,RU,clear sky,54,64.38,-173.3,59.0,0.0,0.0,8.95
40,solnechnyy,100,RU,overcast clouds,92,50.72,136.63,46.18,0.0,0.0,6.8
41,saint-joseph,39,RE,scattered clouds,68,-21.37,55.62,68.0,0.0,0.0,5.82
42,mataura,0,NZ,clear sky,73,-46.19,168.86,44.51,0.0,0.0,0.94
43,esperance,0,AU,clear sky,54,-33.87,121.9,55.4,0.0,0.0,19.46
44,port hedland,0,AU,clear sky,18,-20.32,118.57,84.2,0.0,0.0,13.87
45,puerto baquerizo moreno,32,EC,scattered clouds,93,-0.9,-89.6,68.56,0.0,0.0,9.13
46,kaseda,40,JP,scattered clouds,65,31.42,130.32,80.6,0.0,0.0,10.29
47,hobart,75,AU,shower rain,93,-42.88,147.33,53.01,1.91,1.91,11.41
48,qaanaaq,86,GL,overcast clouds,73,77.48,-69.36,38.73,0.0,0.0,5.84
49,jamestown,1,US,clear sky,77,42.1,-79.24,70.0,0.0,0.0,3.36
50,punta arenas,97,CL,overcast clouds,81,-53.15,-70.92,32.0,0.0,0.0,3.36
51,rockport,20,US,few clouds,74,28.02,-97.05,84.2,0.0,0.0,12.75
52,abu dhabi,0,AE,clear sky,44,24.47,54.37,93.2,0.0,0.0,18.34
53,tasiilaq,93,GL,overcast clouds,66,65.61,-37.64,48.2,0.0,0.0,5.82
54,san cristobal,100,VE,overcast clouds,88,7.77,-72.22,66.18,0.0,0.0,3.74
55,dakar,0,SN,clear sky,78,14.69,-17.44,78.8,0.0,0.0,10.29
56,yellowknife,20,CA,few clouds,38,62.46,-114.35,77.0,0.0,0.0,12.75
57,cairns,22,AU,few clouds,57,-16.92,145.77,80.6,0.0,0.0,10.29
58,bethel,1,US,clear sky,69,41.37,-73.41,73.4,0.0,0.0,4.0
59,kaspiyskiy,87,RU,overcast clouds,38,45.39,47.37,82.9,0.0,0.0,4.23
60,sitka,90,US,overcast clouds,81,57.05,-135.33,51.8,0.0,0.0,11.41
61,alangalang,89,PH,overcast clouds,60,11.21,124.85,89.11,0.0,0.0,7.36
62,buala,22,SB,light rain,75,-8.14,159.59,84.06,0.93,0.93,7.05
63,bluff,3,NZ,clear sky,80,-46.6,168.33,45.52,0.0,0.0,7.0
64,teya,99,RU,overcast clouds,58,60.38,92.63,66.65,0.0,0.0,1.99
65,abay,8,KZ,clear sky,30,49.63,72.85,71.6,0.0,0.0,13.42
66,gudalur,100,IN,light rain,78,9.68,77.27,73.67,0.86,0.86,8.12
67,yelizovo,76,RU,broken clouds,35,53.19,158.38,71.6,0.0,0.0,17.9
68,diego de almagro,0,CL,clear sky,64,-26.37,-70.05,49.14,0.0,0.0,0.34
69,college,90,US,overcast clouds,100,64.86,-147.8,53.6,0.0,0.0,8.05
70,hermanus,89,ZA,overcast clouds,94,-34.42,19.23,53.01,0.0,0.0,1.99
71,kenitra,0,MA,clear sky,88,34.26,-6.58,64.4,0.0,0.0,6.93
72,kuytun,31,RU,scattered clouds,43,54.34,101.5,76.86,0.0,0.0,6.11
73,udachnyy,40,RU,scattered clouds,28,66.42,112.4,80.6,0.0,0.0,6.71
74,zabol,0,AF,clear sky,16,32.25,67.25,82.47,0.0,0.0,10.56
75,georgetown,20,MY,few clouds,79,5.41,100.34,86.0,0.0,0.0,8.05
76,saint-augustin,68,CA,broken clouds,91,51.23,-58.65,48.78,0.0,0.0,9.17
77,flinders,45,AU,scattered clouds,54,-34.58,150.86,60.01,0.0,0.0,4.0
78,mehamn,75,NO,broken clouds,87,71.04,27.85,42.8,0.0,0.0,10.29
79,lastoursville,63,GA,broken clouds,90,-0.81,12.73,69.93,0.0,0.0,1.57
80,mayo,1,US,clear sky,73,38.89,-76.51,75.2,0.0,0.0,4.7
81,bredasdorp,99,ZA,overcast clouds,100,-34.53,20.04,48.2,0.0,0.0,4.05
82,busselton,98,AU,light rain,34,-33.65,115.33,66.99,0.39,0.39,24.32
83,norman wells,90,CA,overcast clouds,87,65.28,-126.83,55.4,0.0,0.0,14.99
84,mar del plata,40,AR,scattered clouds,100,-38.0,-57.56,46.0,0.0,0.0,7.99
85,cherskiy,34,RU,scattered clouds,42,68.75,161.3,70.5,0.0,0.0,17.98
86,tuktoyaktuk,75,CA,broken clouds,71,69.45,-133.04,50.0,0.0,0.0,9.17
87,beringovskiy,5,RU,clear sky,49,63.05,179.32,53.02,0.0,0.0,7.27
88,inongo,20,CD,few clouds,80,-1.95,18.27,69.58,0.0,0.0,4.47
89,pevek,51,RU,broken clouds,83,69.7,170.31,38.41,0.0,0.0,19.8
90,hithadhoo,96,MV,overcast clouds,67,-0.6,73.08,84.25,0.0,0.0,7.27
91,victoria,100,HK,overcast clouds,66,22.29,114.16,91.0,0.0,0.0,15.99
92,airai,39,TL,scattered clouds,64,-8.93,125.41,71.08,0.0,0.0,4.29
93,narkanda,75,IN,mist,78,31.25,77.46,73.4,0.0,0.0,4.03
94,riachao,7,BR,clear sky,72,-7.36,-46.62,69.4,0.0,0.0,5.37
95,longyearbyen,0,SJ,clear sky,65,78.22,15.64,44.6,0.0,0.0,3.36
96,krasnoselkup,100,RU,light rain,84,65.7,82.47,51.85,0.72,0.72,13.44
97,cozumel,6,MX,clear sky,90,20.51,-86.95,82.0,0.0,0.0,1.99
98,butaritari,50,KI,scattered clouds,75,3.07,172.79,83.39,0.0,0.0,12.88
99,riverton,1,US,clear sky,38,40.52,-111.94,77.0,0.0,0.0,8.05
100,dikson,99,RU,overcast clouds,74,73.51,80.55,44.92,0.0,0.0,17.43
101,naze,75,JP,broken clouds,88,28.37,129.48,78.8,0.0,0.0,20.8
102,constitucion,99,CL,overcast clouds,77,-35.33,-72.42,50.99,0.0,0.0,8.03
103,kieta,9,PG,light rain,69,-6.22,155.63,84.74,0.3,0.3,3.42
104,tuatapere,0,NZ,clear sky,70,-46.13,167.68,47.3,0.0,0.0,3.11
105,celestun,38,MX,scattered clouds,81,20.87,-90.4,81.5,0.0,0.0,14.09
106,laurel,1,US,clear sky,78,39.1,-76.85,73.99,0.0,0.0,4.99
107,nanortalik,92,GL,overcast clouds,78,60.14,-45.24,44.44,0.0,0.0,0.65
