City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,ilulissat,GL,44.6,69.22,-51.1,Hotel Arctic
1,kodinsk,RU,83.46,58.69,99.18,
2,west odessa,US,89.6,31.84,-102.5,Corporate Mobile Housing
3,lompoc,US,59.0,34.64,-120.46,Holiday Inn Express Lompoc
4,albany,US,78.01,42.6,-73.97,
5,bubaque,GW,80.98,11.28,-15.83,Casa Dora
7,lata,PT,62.01,40.16,-8.33,Casa Maquia
8,yulara,AU,59.0,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
9,ushuaia,AR,35.6,-54.8,-68.3,Albatros Hotel
10,at-bashi,KG,70.77,41.17,75.81,Hostel At-Bashy
11,high level,CA,73.4,58.52,-117.14,Days Inn by Wyndham High Level
12,dawei,MM,89.55,14.08,98.2,Hotel Dawei
13,rikitea,PF,70.36,-23.12,-134.97,Pension Maro'i
14,kayes,ML,91.4,14.0,-11.0,
15,qasigiannguit,GL,44.6,68.82,-51.19,
16,arraial do cabo,BR,72.72,-22.97,-42.03,Pousada Porto Praia
17,nikolskoye,RU,59.0,59.7,30.79,Tourist House - Sablino
20,togur,RU,60.66,58.36,82.83,
21,avarua,CK,73.4,-21.21,-159.78,Paradise Inn
22,praya,CV,77.0,14.92,-23.51,LT Aparthotel
23,vaini,TO,82.4,-21.2,-175.2,Keleti Beach Resort
24,yuncheng,CN,75.99,35.02,110.99,晋州快捷酒店
25,grindavik,IS,53.6,63.84,-22.43,Northern Light Inn & Max's Restaurant
27,necochea,AR,39.0,-38.55,-58.74,dyd -mar Hotel
28,makakilo city,US,84.2,21.35,-158.09,Marriott's Ko Olina Beach Club
30,dingle,PH,89.38,11.0,122.67,Camp Pasica
31,tiksi,RU,40.46,71.69,128.87,Arktika
32,puerto ayora,EC,69.01,-0.74,-90.35,Finch Bay Galapagos Hotel
33,castro,BR,56.41,-24.79,-50.01,CHACARA BAILLY
34,saldanha,ZA,48.2,-33.01,17.94,Blue Bay Lodge
35,kavaratti,IN,86.0,10.57,72.64,Bismillah Hotel And Lodging
36,hilo,US,80.6,19.73,-155.09,Hilo Hawaiian Hotel
37,ribeira grande,PT,66.22,38.52,-28.7,Quinta da Meia Eira
38,katsuura,JP,69.8,35.13,140.3,Katsuura Hilltop Hotel & Residence
39,provideniya,RU,59.0,64.38,-173.3,
